Job ID,Schedule Type,Level,Function(s),Region,Division,Business Unit,Employment Type,url,Job Title,Job Responsibilities,Location
2019-50175,Full Time,Analyst,Technology,Americas,Engineering,Consumer Banking Technology,Employee,https://uscareers-goldmansachs.icims.com/jobs/50175/consumer-banking-technology---application-development---android-developer/job?hub=7,Consumer Banking Technology - Application Development - Android Developer,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment Consumer and Commercial Banking CCBD Consumer and Commercial Banking brings innovative solutions to traditional banking activities We are a global team of lenders investors risk managers skilled marketers web experts and banking specialists We provide a suite of solutions to help our customers meet their personal financial goals We make direct investments in and risk manage a portfolio of corporate loans and securities And we help transform distressed communities through investments and loans of private capital Digital Finance Digital Finance a business unit within CCBD is comprised of the firm s digitally led consumer businesses which include the Marcus deposits and lending businesses as well as the personal financial management app Clarity Money Digital Finance combines the strength and heritage of a year old financial institution with the agility and entrepreneurial spirit of a tech start up Through the use of machine learning and intuitive design we provide customers with powerful tools that are grounded in value transparency and simplicity to help them make smarter decisions about their money ,US-NY-New York
2017-37474,Full Time,Associate,Engineering,EMEA,Engineering,PWM Technology,Employee,https://careers-goldmansachs.icims.com/jobs/37474/private-wealth-management---portfolio-management-trading-team-developer/job?hub=7,Private Wealth Management - Portfolio Management Trading Team Developer,WHAT WE DO At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here WHO WE LOOK FOR Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment OUR IMPACT The Private Wealth Management PWM business provides end to end Investment Management services and advice across a large range of asset classes for high net worth individuals PWM leverages a global technology platform offering an integrated suite of tools and applications to onboard clients Our software helps realize a client s goals and objectives develops and implements an integrated wealth management plan and delivers first class client service The Private Wealth Management Group PWM within GS develops and manages relationships with wealthy individuals and family groups advising them on ways in which to build and protect their financial assets through equity fixed income and alternative investments and other financial instruments YOUR IMPACT The successful candidate will join the global portfolio management team within the wider trading team We develop applications to manage a broad range of single and multi asset class portfolios getting exposure to the full product set We work closely with our business partners to streamline business workflows and drive growth Currently we are focussed on building out our strategic global portfolio management platform leveraging modern web technologies including AngularJS CSS and MongoDB ,UK-London
2018-48384,Full Time,Associate,Technology,India,Engineering,Enterprise Platforms,Employee,https://careers-goldmansachs.icims.com/jobs/48384/data-architecture---platform-developer---harmony/job?hub=7,Data Architecture - Platform Developer - Harmony,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment Make data a strategic asset for the enterprise by providing a platform that enables the structuring management integration control discovery usage and governance of our Data Assets Enterprise Platforms is a global multi disciplinary team responsible for researching designing testing and building world class tools practices and systems used across Goldman Sachs Partnering with colleagues from Technology and the business EP solves critical problems maintains and strengthens essential systems provides training and internal consultancy and safeguards the firm s culture of high caliber software engineering ,IN
2018-48753,Full Time,Vice President/Executive Director,Technology,India,Engineering,Client Platforms,Employee,https://careers-goldmansachs.icims.com/jobs/48753/digital-experience---workplace-engineering---platform---workplace-eng---devops-engineer/job?hub=7,Digital Experience - Workplace Engineering - Platform - Workplace Eng - DevOps Engineer,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment Manage the post development software lifecycle of key products with expertise in development tooling release management testing and runtime operations Our practitioners have exposure to various technologies across both the infrastructure and software stack helping to devise and implement resilient application architectures As part of the Digital Experience group Workplace Engineering pushes to introduce contemporary industry technologies into the Goldman Sachs to create a creative and productive workplace environment for all employees ,IN
2018-49196,Full Time,Vice President/Executive Director,Engineering,EMEA,Engineering,Commercial Banking Technology,Employee,https://careers-goldmansachs.icims.com/jobs/49196/sdlc-lead---commercial-banking-technology/job?hub=7,SDLC Lead - Commercial Banking Technology,WHAT WE DO At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here WHO WE LOOK FOR Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment The Consumer and Commercial Banking Division CCBD brings innovative solutions to traditional banking activities We are a global team of lenders investors risk managers skilled marketers web experts and banking specialists We provide a suite of solutions to help our customers meet their financial goals We make direct investments in and manage risk for a portfolio of corporate loans and securities We help transform distressed communities through investments and loans of private capital Commercial Banking Commercial Banking a business unit within CCBD aims to provide comprehensive cash management solutions for corporations CCBD Commercial Banking combines the strength and heritage of a year old financial institution with the agility and entrepreneurial spirit of a tech start up Our goal is to provide the best client experience Through the use of modern technologies centered on data and analytics we provide customers with powerful tools that are grounded in value transparency and simplicity to improve cash flow management efficiency ,UK-London
2018-48457,Full Time,Associate,Engineering,EMEA,Engineering,Platform,Employee,https://careers-goldmansachs.icims.com/jobs/48457/executive-office-technical-support/job?hub=7,Executive Office Technical Support,Executive Office Support team within Technology Infrastructure is responsible for providing on site technical support for a variety of applications system and hardware used by senior VIPs This includes infrastructure build out hardware provisioning asset management troubleshooting on going support on both desktop hardware software components and multimedia event planning support Design engineer deploy lifecycle manage the firm s voice multimedia systems messaging platforms desktop and productivity apps including MS Exchange perimeter gateways MS Office Outlook Visio Google docs Trader voice platforms call manager and Telepresence The group ensures the resiliency optimization security and protection of our systems and the delivery and management of the firm s robust product groups WHAT WE DO At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here WHO WE LOOK FOR Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment ,UK-London
2018-46422,Full Time,Vice President/Executive Director,Technology,Americas,Engineering,Operations Engineering,Employee,https://uscareers-goldmansachs.icims.com/jobs/46422/operations-engineering---securities-%26-listed---ops-engineering---post-execution-synthetics---developer/job?hub=7,Operations Engineering - Securities & Listed - Ops Engineering - Post Execution Synthetics - Developer,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment The Operations Division is the engine room that powers Goldman Sachs and Operations Technology is driving their industrialization through automation digitization and orchestration The Synthetics business at Goldman Sachs a key growth area for the firm is undergoing a transformational change It is a complex and nuanced global business operating with low latency at scale requiring significant technological investment to make our platform the best in class The Post Execution Synthetics Engineering team is at the forefront of this effort Our team develops the systems that automate the booking and lifecycle of synthetics and equity derivative products within the front office trading risk system To accomplish this we have a number of greenfield projects to digitize our business and are looking for highly technical developers to help us achieve this goal We are a small highly innovative team which has full ownership of our systems This role will provide a great opportunity to develop your technical skills and provide support to help you grow You will be working together with the business on a daily basis Our technology stack consists of Java Slang proprietary scripting language AngularJS MongoDb and SecDb proprietary NoSql database run on an internal cloud A willingness to learn new languages technologies and the business will be key to your success in this role ,US-UT-Salt Lake City
2018-42797,Full Time,Associate,Technology,India,Engineering,Investing & Lending Engg,Employee,https://careers-goldmansachs.icims.com/jobs/42797/engineering---rmd-tech---associate/job?hub=7,Engineering - RMD Tech - Associate,ENGINEERING What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment ,IN-Bengaluru
2018-49793,Full Time,Vice President/Executive Director,Technology,Americas,Engineering,Platform,Employee,https://uscareers-goldmansachs.icims.com/jobs/49793/data-architecture---lake-software-developer---vice-president/job?hub=7,Data Architecture - Lake Software Developer - Vice President,What We Do At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here Who We Look For Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment Make data a strategic asset for the enterprise by providing a platform that enables the structuring management integration control discovery usage and governance of our Data Assets OUR IMPACT Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment Our team Data Architecture is focused on the firm s data strategy Data Architecture is comprised of teams Our recruiting process is aligned to find the right fit for you within these three areas of focus and we do want you to learn about each of them in order to align your interests with available roles If you believe that you have a targeted interest please do say so Data Lake Engineers are responsible for the Firm s strategic repository for enterprise data Technology teams across the Firm are clients participating in providing and consuming data to from the lake Developers on the team create and manage the software that manages the data in the lake ensure entitlements are enforced appropriately data is milestoned and is available for query on multiple target warehouse platforms This platform enables structuring management integration control discovery usage and governance of our Data Assets Join us in Jersey City Bengaluru or Dallas ,US-TX-Dallas
2018-49016,Full Time,Associate,Engineering,EMEA,Engineering,Commercial Banking Technology,Employee,https://careers-goldmansachs.icims.com/jobs/49016/commercial-banking-engineering---application-developer---associate/job?hub=7,Commercial Banking Engineering - Application Developer - Associate,WHAT WE DO At Goldman Sachs our Engineers don t just make things we make things possible Change the world by connecting people and capital with ideas Solve the most challenging and pressing engineering problems for our clients Join our engineering teams that build massively scalable software and systems architect low latency infrastructure solutions proactively guard against cyber threats and leverage machine learning alongside financial engineering to continuously turn data into action Create new businesses transform finance and explore a world of opportunity at the speed of markets Engineering which is comprised of our Technology Division and global strategists groups is at the critical center of our business and our dynamic environment requires innovative strategic thinking and immediate real solutions Want to push the limit of digital possibilities Start here WHO WE LOOK FOR Goldman Sachs Engineers are innovators and problem solvers building solutions in risk management big data mobile and more We look for creative collaborators who evolve adapt to change and thrive in a fast paced global environment The Consumer and Commercial Banking Division CCBD brings innovative solutions to traditional banking activities We are a global team of lenders investors risk managers skilled marketers web experts and banking specialists We provide a suite of solutions to help our customers meet their financial goals We make direct investments in and manage risk for a portfolio of corporate loans and securities We help transform distressed communities through investments and loans of private capital Commercial Banking Commercial Banking a business unit within CCBD aims to provide comprehensive cash management solutions for corporations CCBD Commercial Banking combines the strength and heritage of a year old financial institution with the agility and entrepreneurial spirit of a tech start up Our goal is to provide the best client experience Through the use of modern technologies centered on data and analytics we provide customers with powerful tools that are grounded in value transparency and simplicity to improve cash flow management efficiency The Role As part of our global team you will be responsible for the specification development testing delivery and support of our application Our flat structure requires and enables team members to evolve through the entire spectrum of the software lifecycle You will interact with our users to ensure that we produce the best possible product You will also interact with product owners site reliability engineers and platform teams ,UK-London
