Job Number,Job Type,url,Job Title,Job Responsibilities,Location
3126799,Wealth Management,https://ms.taleo.net/careersection/2/moresearch.ftl;jsessionid=4arnSxY8eNOOwoalVDMb6HPp4TBIYniVT83doaA4x_4pWQjKFxkl!-497835726,Consulting Group Analyst,POSITION SUMMARY The Consulting Group CG Analyst participates in overall business development of clientele by developing customized Financial Plans Asset Allocation proposals designing tailored reporting for new and existing clients and creating and executing marketing strategies to attract new clients The CG Analyst is also responsible for matters of technical policy and standards presentation materials and performance measurement for technically advanced accounts DUTIES and RESPONSIBILITIES Prepares performance measurement for clients which involves computing account performance analyzing investment portfolio holdings and generating quarterly investment performance monitors Develops presentation materials and proposals to assist Financial Advisors in obtaining clients business May participate in or conduct client account meetings with or on behalf of the Financial Advisor Engages in interactive dialogue with clients and prospects to determine investment objectives current portfolio status risk tolerance and other information necessary to craft comprehensive financial strategy in conjunction with the Financial Advisor Synthesizes client prospect data to develop customized financial plans asset allocation proposals utilizing Firm s proprietary software tools Designs and produce strategy reports and other types of communications for Financial Advisors to use with clients and prospects as part of the overall marketing initiative Provides individualized recommendations to the Financial Advisor regarding client situations and their investment managers using Consulting Group manager research Develops Statement of Investment Policy for clients in coordination with Financial AdvisorsQUALIFICATIONSEducation and or Experience Minimum of years of post high school education and or work experience in a field relevant to the position required Four year college degree or professional certification preferred Active Series and or as required by individual states Additional product licenses may be required Knowledge Skills Ability to measure performance of clients portfolios Successful completion of the Essentials of Investment Consulting certificate course administered through IMCA or holds the CIMA or CFA designation Proficient in applicable software applications including PARis Orion Zephyr etc Financial industry and product knowledge preferred Effective written and verbal communication skills Knowledge of applicable compliance rules and regulations and firm policies Ability to work independently Reports to Business Service Manager with potential dual report to a Group Director Morgan Stanley EOE committed to diversifying its workforce M F D V ,Americas-United States of America-Massachusetts-Boston
3126265,Bank Resource Management (BRM),https://ms.taleo.net/careersection/2/moresearch.ftl;jsessionid=4arnSxY8eNOOwoalVDMb6HPp4TBIYniVT83doaA4x_4pWQjKFxkl!-497835726,BRM Trader - Vice President,Company Profile Morgan Stanley is a leading global financial services firm providing a wide range of investment banking securities investment management and wealth management services The Firm s employees serve clients worldwide including corporations governments and individuals from more than offices in countries As a market leader the talent and passion of our people is critical to our success Together we share a common set of values rooted in integrity excellence and strong team ethic Morgan Stanley can provide a superior foundation for building a professional career a place for people to learn to achieve and grow A philosophy that balances personal lifestyles perspectives and needs is an important part of our culture Department Profile Bank Resource Management BRM is a division within the Institutional Securities Group that is responsible for the Firm s securities financing transactions including repo and securities lending hedging of OTC derivative counterparty exposures and global collateral management BRM executes centralized liability management for the Firm in partnership with Corporate Treasury BRM is positioned at the core of transaction flows to ensure proper and consistent allocation and pricing of resources across market facing businesses globally The advertised role is for a trader within the Bank Resource Management BRM division and affords the successful candidate an unparalleled opportunity in which to undertake trading responsibilities across the BRM businesses inclusive of Firm Funding xVA Client Financing and Securities Lending Unlike traditional trading roles this is not aligned to a single desk thus creating the scope for cross functional training and development The team in Frankfurt sits within a fast paced trading environment with connectivity to clients and firm trading desks Primary Responsibilities Evaluate new transactions for FID counterparties for the XVA desk Risk manage trading book positions understand risk measures and ensure risk limits and structures are adhered to Understand key drivers of counterparty and funding risks and develop appropriate strategies to manage Execute transactions for hedging of XVA risks in accordance with desk procedures Pricing new and existing Securities Lending business Cross divisional collaboration with members of Securities Lending Client Financing Sales Corporate Treasury Prime Brokerage and trading desks across FID and IED to monetize firm assets externally in secured financing transactions Develop an in depth understanding of various funding structures and alternatives to execute cost effective liabilities in bespoke market Participate in and manage EU Bills auctions Support the market and liquidity risk associated with the EUR and GBP repo and T Bill portfolios within the prescribed Risk and PnL framework Building solid relationships with partner areas such as legal compliance risk operations and technologyQUALIFICATIONSSkills required essential Minimum degree educated preferably in a quantitative field such as Maths Engineering or Science Understanding Experience trading across different products specifically xVA and or Repo Able to perform under pressure think and make decisions in short timeframes and prioritise as required Team player with strong interpersonal skills Strong attention to detail and ability to multi task Excellent analytical oral and written communication skill Morgan Stanley is an equal opportunities employer We work to provide a supportive and inclusive environment where all individuals can maximise their full potential Our skilled and creative workforce is comprised of individuals drawn from a broad cross section of the global communities in which we operate and who reflect a variety of backgrounds talents perspectives and experiences Our strong commitment to a culture of inclusion is evident through our constant focus on recruiting developing and advancing individuals based on their skills and talents LI RL ,"Europe, Middle East, Africa-Germany-Germany-Frankfurt"
3126555,Wealth Management,https://ms.taleo.net/careersection/2/moresearch.ftl;jsessionid=4arnSxY8eNOOwoalVDMb6HPp4TBIYniVT83doaA4x_4pWQjKFxkl!-497835726,Senior Registered Service Associate,POSITION SUMMARY The Senior Registered Service Associate enhances the client experience and must maintain a high level of client service and branch support The role is responsible for daily operations and identifying and anticipating client Financial Advisor and branch needs The Senior Registered Service Associate must have the ability to resolve problems using all available resources and escalate matters as necessary In order to perform daily business practices the Registered Service Associate is required to have active Series and or and Licenses DUTIES and RESPONSIBILITIES Serve as a resource to Financial Advisors Support Staff and clients Act as a liaison between the branches and service departments Review client activity for digital and self service opportunities Monitor specific delegated reports and requests and execute on actionable items to meet service level expectations in a timely manner Assist with Firm remediation and audit related projects Review money movement and deposits and escalate issues to management as necessary Prepare and process trade corrections and maintain necessary records for compliance Review documents for accuracy and completeness prior to scanning Oversee and distribute incoming and outgoing mail Proactively participate in firm initiatives directed by local management Actively engage in available training and education programs to maintain current status on policies procedures and risk awareness Perform administrative duties that support daily branch operations including but not limited to telephone coverage and document maintenanceQUALIFICATIONSEDUCATION EXPERIENCE KNOWLEDGE and SKILLS Education and or Experience High School Diploma Equivalency College degree preferred Active Series and or Series and or more years of industry experience required Knowledge Skills Strong computer skills and knowledge of Microsoft Office products Exceptional interpersonal and client service skills Detail orientated with superior organizational skills and ability to prioritize workflow Team player with the ability to collaborate with others Reports To Business Service Manager or Complex Business Service Officer Morgan Stanley EOE committed to diversifying its workforce M F D V ,Americas-United States of America-Texas-San Antonio
3126896,Wealth Management,https://ms.taleo.net/careersection/2/moresearch.ftl;jsessionid=4arnSxY8eNOOwoalVDMb6HPp4TBIYniVT83doaA4x_4pWQjKFxkl!-497835726,Receptionist,POSITION SUMMARY Cordially and professionally answer incoming calls greet visitors and direct clients and visitors to appropriate individuals Provide some additional clerical assistance to complex or branch at direction of Management DUTIES and RESPONSIBILITIES Answer incoming calls in cordial professional and timely manner Transfer calls to appropriate individuals Take accurate thorough messages Greet clients and visitors to office with warmth and professionalism Perform other responsibilities as directed by the Complex Branch Manager e g filing maintaining branch library etc QUALIFICATIONSMINIMUM QUALIFICATIONS Basic knowledge of telephone equipment is preferred Ability to communicate with co workers and clients High school diploma or equivalent preferred Morgan Stanley EOE committed to diversifying its workforce M F D V ,Americas-United States of America-New York-Garden City
3126890,Wealth Management,https://ms.taleo.net/careersection/2/moresearch.ftl;jsessionid=4arnSxY8eNOOwoalVDMb6HPp4TBIYniVT83doaA4x_4pWQjKFxkl!-497835726,Client Service Associate,POSITION SUMMARY The Client Service Associate enhances the client experience by providing exceptional client service supporting Branch functions as needed assisting in safeguarding client assets and serving as administrative and operational support to Financial Advisors The Client Service Associate is responsible for understanding firm policies procedures and digital capabilities that will allow them to interact with Financial Advisor teams as well as new and existing clients DUTIES and RESPONSIBILITIES Maintain existing client relationships through the processing of client requests resolving client inquiries and making sure key client information and documentation is up to date Conduct outreach to maintain strong relationships with client base and identify Firm services and solutions such as digital online access and cash management offerings that support clients needs Onboard new client accounts which includes the collection of required documentation and client information Support the team s marketing strategy by maintaining marketing materials including digital and social media platforms and planning client events and seminars Regularly seek opportunities to use firm resources for peer sharing and collaborating with Financial Advisors Proactively participate in firm initiatives directed by local management Actively engage in available training and education programs to maintain current status on policies procedures and risk awareness Perform administrative duties that support Financial Advisors in daily business practices including but not limited to telephone coverage business travel arrangements coordination of client meetings prepare travel expense reports and file calendar maintenanceQUALIFICATIONSEDUCATION EXPERIENCE KNOWLEDGE and SKILLS Education and or Experience High School Diploma Equivalency College degree preferred Industry experience is a plus Willingness to obtain Series and or Series and Knowledge Skills Strong computer skills and knowledge of Microsoft Office products Exceptional interpersonal and client service skills Detail orientated with superior organizational skills Team player with the ability to collaborate with others Ability to work in a fast paced evolving environment Reports To Complex Business Service Officer or Business Service Manager Morgan Stanley EOE committed to diversifying its workforce M F D V ,Americas-United States of America-Florida-Palm Harbor
3126925,Wealth Management,https://ms.taleo.net/careersection/2/moresearch.ftl;jsessionid=4arnSxY8eNOOwoalVDMb6HPp4TBIYniVT83doaA4x_4pWQjKFxkl!-497835726,Resident Manager,POSITION SUMMARY The Resident Manager s primary focus is to drive revenue and manage risk within their branch and to continue to build a book of business Job functions also include maintaining a superior and consistent level of client service developing cohesive teams providing consistent leadership and assuming accountability for their Branch s results Resident Managers must be responsible for fiscal management personnel management and morale business ethics and practices and compliance with all Federal State and Local laws and regulations The Resident Manager reports directly to either the Complex Manager Non Producing Branch Manager or Producing Branch Manager The Resident Manager will manage a smaller producing branch office DUTIES and RESPONSIBILITIES Production related Build a client base of high net worth households by prospecting and developing new client relationships and maintain and manage long term client relationships Help manage client investment needs consistent with Firm policies and industry requirements Keep current with information regarding regulatory requirements financial markets and current and new products Product Business Knowledge Has a thorough understanding of the Firm s products and those of its strategic partners uses this knowledge to provide resources and direction in order to help drive sales Has a good understanding of the Firm s resources able to direct the sales force to the appropriate resources in an efficient manner Effectively applies product business knowledge to recruiting efforts able to translate competitor offerings into Morgan Stanley Wealth Management products and understand and explain how a recruit will be able to continue to help meet their clients needs Sales Marketing Seeks opportunities to grow business and drive sales by capitalizing on Firm initiatives Focuses on building strong relationships with corporate departments and strategic partners to achieve the marketing efforts of the Branch Promotes corporate and complex initiatives and is able to effectively communicate these initiatives to Financial Advisors within their branch Team Building Builds an effective team in the branch by constantly communicating relevant information on a timely basis and conducting regular meetings Participates in Region and Complex initiatives including sales hiring recruitment diversity and community outreach Leadership Leads by example by ensuring that their branch is consistently achieving the objectives of the U S Wealth Management Group maintains a positive morale has a reputation of growth has ethical business practices and demonstrates a commitment to diversity and respect for others Leads proactively by identifying trends potential areas of growth and weakness and addressing these areas in order to positively position the branch within the geographic market Leads their Branch s efforts of Sales results and client centered approach Experience Leverages the resources of the Firm to achieve the highest level of success Acts as a coach and mentor for Financial Advisors in order to help drive results Accountability Responsible for the Branch s sales performance and financial performance Responsible for regulatory legal and compliance issues including Risk Management for their Branch in regards to monitoring sales human resources and legal and regulator practices Responsible for following supervisory procedures as outlined in the Branch Manager s Supervisory Manual Responsible for executing the Annual Supervisory Plan Responsible for effectively communicating the status of performance and issues to the Complex Manager Non Producing Branch Manager Producing Branch Manager QUALIFICATIONSEducation and or Experience Bachelor s degree required or equivalent education or experience At least or more years of experience as a Financial Advisor with satisfactory production and compliance record or equivalent branch management or industry experience Licenses and Registrations Active Series or and or and and registrations Series acceptable if branch conducts managed futures business only Other licenses as required for role or by management Skills Effective written and verbal communication skills Ability to think critically Ability to manage a team Strong attention to detail Ability to interact with senior management team Financial Advisors support staff clients and corporate and field personnel as needed Ability to own projects at a Branch level Ability to organize and prioritize work meet deadlines and complete projects Reports to Direct Complex Manager Non Producing Branch Manager Producing Branch Manager Direct reports Financial Advisors and Branch support staff This list is meant to be directional and should not be considered complete as it may be supplemented on an as needed basis All candidates should verify that they meet the minimum eligibility requirements prior to applying Morgan Stanley EOE committed to diversifying its workforce M F D V ,Americas-United States of America-Michigan-Flint
3126299,Audit,https://ms.taleo.net/careersection/2/moresearch.ftl;jsessionid=4arnSxY8eNOOwoalVDMb6HPp4TBIYniVT83doaA4x_4pWQjKFxkl!-497835726,IT Auditor - Wealth Management,Company Profile Morgan Stanley is a leading global financial services firm providing a wide range of investment banking securities investment management and wealth management services The Firm s employees serve clients worldwide including corporations governments and individuals from more than offices in countries As a market leader the talent and passion of our people is critical to our success Together we share a common set of values rooted in integrity excellence and strong team ethic Morgan Stanley can provide a superior foundation for building a professional career a place for people to learn to achieve and grow A philosophy that balances personal lifestyles perspectives and needs is an important part of our culture Department Profile Morgan Stanley s Internal Audit Department reports to the Firm s Board Audit Committee and comprises financial technology and risk auditors Our mission is to be recognized as a strong and high performing audit function that is viewed as a trusted authority and advisor to the Board Firm management and industry regulators in assessing and strengthening the Firm s control environment Internal Audit provides independent assurance on the quality and effectiveness of Morgan Stanley s internal control risk management and governance systems and processes Technology Auditors focus on the application and system infrastructure controls that manage business risks and are responsible for understanding analyzing and testing the technology controls including those over data accuracy completeness and processing systems development application security and entitlements production management and technology governance Primary Responsibilities Morgan Stanley is seeking a strong IT Audit candidate to cover the applications and system infrastructure supporting the Wealth Management business Provide technology audit coverage in integrated audits through risk assessments audit planning testing reporting and issue closure verification Develop an understanding of the areas reviewed and the technology that supports them Build effective relationships with stakeholders Present and communicate issues to managementQUALIFICATIONSSkills required Three to five years of IT Audit experience preferably with a Financial Services Brokerage or Public Accounting Firm Ability to partner with Technology and Financial Auditors and work within a team Strong written and verbal communication skills Ability to carry out audit testing and work on multiple audit assignments while meeting deadlines Bachelor s Degree Computer Science or IT related preferred CISA CISSP or CPA certification a plus,Americas-United States of America-New York-New York
3116300,Risk Management,https://ms.taleo.net/careersection/2/moresearch.ftl;jsessionid=4arnSxY8eNOOwoalVDMb6HPp4TBIYniVT83doaA4x_4pWQjKFxkl!-497835726,Associate - MRM Quality Assurance,Associate MRM Quality Assurance Specialist Department Profile The cornerstone of Morgan Stanley s risk management philosophy is the execution of risk adjusted returns through prudent risk taking that protects Morgan Stanley s capital base and franchise Risk Management protects the firm from exposure to a variety risks including market operational credit liquidity and model risks Model Risk Management is responsible for the Firm s management of risks related to the implementation and use of models covering all aspects of the Firm s businesses and implementing key regulatory requirements MRM QA Team The MRM Quality Assurance team has primary responsibility for the oversight and execution of the quality assurance function within Model Risk Management The QA team works closely with Model Developers and Reviewers to ensure that MRM s model development and validation standards are applied consistently across all models MRM QA The QA specialist reports into the regional QA VP team lead and will support all aspects of the MRM Quality Assurance function Primary Responsibilities Perform targeted Quality Assurance review across all model categories to ensure consistent application of standards Monitor and track progress towards remediation of identified inconsistencies Provide feedback in terms of improvements to current policies and procedures and identify and promote best practices to strengthen quality of validation review and prevent inconsistencies Skills Required years of experience in complex financial services Knowledge of quality assurance testing processes and concepts Strong organizational analytical and problem solving as well as communication skills Ability to manage processes from end to end ensuring successful and timely execution Product and business knowledge across different asset classes Proactively takes initiative and demonstrates a high level of accountability Understanding of relevant regulatory requirements e g SR and or SR Skills Desired Prior work experience in model risk management or internal audit Knowledge and experience of CCAR DFAST processes QUALIFICATIONSMBA CA,Non-Japan Asia-India-Maharashtra-Mumbai (MSA)
3123397,Capital Markets,https://ms.taleo.net/careersection/2/moresearch.ftl;jsessionid=4arnSxY8eNOOwoalVDMb6HPp4TBIYniVT83doaA4x_4pWQjKFxkl!-497835726,"Global Capital Markets, Roadshow Coordinator, Hong Kong",ROLE ROADSHOW COORDINATOR Company Profile Morgan Stanley is a leading global financial services firm providing a wide range of investment banking securities investment management and wealth management services The Firm s employees serve clients worldwide including corporations governments and individuals from more than offices in countries As a market leader the talent and passion of our people is critical to our success Together we share a common set of values rooted in integrity excellence and strong team ethic Morgan Stanley can provide a superior foundation for building a professional career a place for people to learn to achieve and grow A philosophy that balances personal lifestyles perspectives and needs is an important part of our culture Position Description We are currently hiring for an experienced corporate access professional to work as part of the Global Capital Markets GCM Team in Hong Kong GCM serves as the nexus between Investment Banking and Sales Trading GCM comprises traditional market coverage and underwriting groups as well as a number of product groups focused on providing customized capital structure solutions for our clients You would work with clients on complex and innovative financings in a fast paced environment Your primary responsibility would be to work with and support the team executing a range of debt and equity products The responsibilities of this role include Coordinating with institutional clients corporates and internal for arrangement of luncheons roadshows conferences field trips company visits and marketing events Planning and executing events for marketing of products Planning and executing corporate meetings for internal corporate and institutional clients Preparing fliers budgets and calendars for corporate events and functions Liaising with media for event arrangement or distribution of productsQUALIFICATIONS Role requirements University degree holder preferably in Finance or related disciplines At least years relevant experience in Corporate Access event management with proven track records Sound knowledge in the financial capital markets Good negotiation interpersonal and communication skills Detail minded and good organizational skills Excellent command of both written and spoken English and Mandarin LI JY ,Non-Japan Asia-Hong Kong-Hong Kong-Hong Kong
3122104,Legal and Compliance,https://ms.taleo.net/careersection/2/moresearch.ftl;jsessionid=4arnSxY8eNOOwoalVDMb6HPp4TBIYniVT83doaA4x_4pWQjKFxkl!-497835726,"Investment Management Compliance Director/Vice President, Singapore",COMPANY PROFILE Morgan Stanley is a leading global financial services firm providing a wide range of investment banking securities investment management and wealth management services The Firm s employees serve clients worldwide including corporations governments and individuals from more than offices in countries As a market leader the talent and passion of our people is critical to our success Together we share a common set of values rooted in integrity excellence and strong team ethic Morgan Stanley can provide a superior foundation for building a professional career a place for people to learn to achieve and grow A philosophy that balances personal lifestyles perspectives and needs is an important part of our culture DEPARTMENT PROFILE Professionals within Legal and Compliance provide a wide range of services to our business units They help to structure complex and sensitive cross border transactions advise on a new product introduction develop a training program surveil for compliance with market and investor requirements or defuse an investor dispute They preserve the Firm s invaluable reputation for integrity and protect the Firm from sanctions with policies and procedures that meet regulatory requirements around the world They also strive to maintain cooperative relationships with governmental policy makers and the regulatory and self regulatory agencies that govern the Firm s businesses BACKGROUND ON THE POSITION Morgan Stanley Investment Management IM together with its investment advisory affiliates has investment professionals around the world and more than billion in assets under management or supervision as of June IM offers investment expertise across a broad spectrum of global equities fixed income alternatives and real estate strategies We are looking for a high caliber individual to join the IM Asia Compliance team The team is responsible for managing regulatory risks and helping to preserve the Firm s franchise through ensuring Business and Infrastructure Units compliance with relevant laws regulations rules and internal policies and procedures in the region including Australia China Hong Kong India Korea Singapore and Taiwan The activities of the team include providing advisory compliance support implementing regulatory changes drafting and updating policies and procedures training personnel and conducting monitoring and surveillance among other activities Primary Responsibilities This role will be based in Singapore and reports to the Head of IM Compliance Public Side Asia Pacific ex Japan Duties include Advising and supporting the Asia Investment Management businesses on a wide range of compliance matters Interpreting regulations and helping to implement appropriate solutions with the business Drafting and maintaining policies and procedures including written supervisory procedures Developing training materials and conducting training sessions communicating compliance regulatory updates to the business Assisting in identifying and developing modifications on the compliance program based on new business needs Advising monitoring and overseeing st Line of Defense Reviewing marketing materials in line with regulatory requirements Reviewing and approving employee trading activity for coverage employees advising and resolving any issues in Code of Ethics employees personal investment transactions and outside business activities Reviewing trading activity in particular the fairness and appropriateness of affiliated transactions fair allocation and cross trades etc including market abuse monitoring Assisting in regulatory and licensing matters including compilation and submission of regulatory returns and filings responding to ad hoc and routine regulatory queries onsite visits and inspections Assisting in the preparation collation of documents for internal and external audits Participating in various projects such as new product business instruments initiatives global initiatives etc QUALIFICATIONSQualifications A Bachelor s degree in Legal Accounting Business or Finance At least years compliance related experience gained at a financial institution and or regulator including a minimum of years recent experience in the investment management field Highly analytical with strong understanding of investment management industry and knowledge of regulations and rules in Asia Experience in investment guidelines compliance with good technical knowledge of trade surveillance systems and understanding of financial instruments across various asset classes is advantageous Self starter who is able to manage effectively senior professionals in the business A team player with strong project management skills Detail oriented motivated and able to multi task in a fast paced high pressure environment Exceptional written and oral communication skills in English and Chinese as this role is required to support the China market ,Non-Japan Asia-Singapore-Singapore-Singapore (Asia Pac)
